grr,0,0,2,40,749,375,1748,663,333,215,398,229,452,248,214,300,118,138,187,413,457,137,105,78,54,39,9,10,16,1,5,1,1,0,0,0,0,1,1,2
gqds,0,0,6,47,265,178,651,498,172,204,285,288,201,84,209,114,97,28,31,72,137,59,41,25,16,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
hiiiiiiii,0,0,0,10,43,25,466,173,75,124,169,33,22,34,30,11,4,5,3,6,17,15,12,6,3,3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Sescenti,0,0,0,32,463,459,407,321,133,152,105,101,214,217,159,182,104,86,56,88,143,77,65,67,27,17,0,0,1,0,0,0,1,0,0,0,0,0,0,0
