hiiiiiiii,0,0,0,0,0,0,10,0,43,0,25,0,466,0,173,0,75,0,124,0,169,0,33,0,22,0,34,0,30,0,11,0,4,0,5,0,3,0,6,0,17,0,15,0,12,0,6,0,3,0,3,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
gqds,0,0,0,6,0,47,0,265,0,178,0,651,0,498,0,172,0,204,0,285,0,288,0,201,0,84,0,209,0,114,0,97,0,28,0,31,0,72,0,137,0,59,0,41,0,25,0,16,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Sescenti,0,0,0,0,0,0,32,0,463,0,459,0,407,0,321,0,133,0,152,0,105,0,101,0,214,0,217,0,159,0,182,0,104,0,86,0,56,0,88,0,143,0,77,0,65,0,67,0,27,0,17,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
grr,0,0,0,0,2,0,40,0,749,0,375,0,1748,0,663,0,333,0,215,0,398,0,229,0,452,0,248,0,214,0,300,0,118,0,138,0,187,0,413,0,457,0,137,0,105,0,78,0,54,0,39,0,9,0,10,0,16,0,1,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2,
